Acres_burned,Fire_cause,FireDiscoveryDateTime,FireOutDateTime,IncidentName,Latitude,Longitude,County,Country,State,Fire_duration,Month,Month_name
1,Cause not found,2021/03/07 07:08:00+00,2021/03/09 00:59:59+00,BEACH,34.4559,-114.3719,Mohave,US,AZ,2,3,Mar
2,Debris/Open Burning,2021/03/20 22:10:00+00,2021/04/16 17:00:00+00,MCCLUNG,34.60244,-98.68604,Comanche,US,OK,27,3,Mar
101,Debris/Open Burning,2021/03/09 01:30:00+00,2021/03/09 07:20:00+00,MARTIN,34.91935,-95.1033,Latimer,US,OK,0,3,Mar
16,Utilities,2021/01/29 23:12:00+00,2021/01/30 17:48:59+00,OREGON BASIN,44.38801,-108.9772,Park,US,WY,1,1,Jan
45,Other Human Cause,2021/02/18 03:20:00+00,2021/03/05 15:59:59+00,WETLANDS,36.09058,-115.0345,Clark,US,NV,16,2,Feb
5,Camping,2021/03/12 19:44:00+00,2021/03/31 14:24:00+00,Lake Catherine 2,29.05793,-81.83696,Marion,US,FL,19,3,Mar
13,Incendiary,2021/02/04 05:29:59+00,2021/02/20 18:00:00+00,LUTIE,34.89812,-95.26555,Latimer,US,OK,16,2,Feb
0,Other Human Cause,2021/03/19 17:31:00+00,2021/03/21 18:00:00+00,Sierra,25.42499,-80.78468,Miami-Dade,US,FL,2,3,Mar
1,Firearms/Weapons,2021/02/11 17:48:59+00,2021/02/21 18:59:59+00,Penrose,38.7946,-104.8999,Teller,US,CO,10,2,Feb
7,Incendiary,2021/03/11 22:34:59+00,2021/03/19 15:00:00+00,65,35.25705,-95.09035,Haskell,US,OK,8,3,Mar
162,Other Human Cause,2021/02/13 23:42:59+00,2021/02/22 15:59:59+00,MULBERRY,31.84475,-110.7289,Pima,US,AZ,9,2,Feb
25,Other Human Cause,2021/03/07 21:20:00+00,2021/03/17 19:47:00+00,Hollow,36.70221,-92.1424,Ozark,US,MO,10,3,Mar
14,Other Human Cause,2021/03/08 13:05:59+00,2021/03/31 15:00:00+00,Stephens Knob,36.61083,-84.35006,McCreary,US,KY,23,3,Mar
